Price,Year,Mileage,Color,City(La)
7000,2014,42000,BLACK,LA
7000,2014,79908,GREEN,LA
7000,2014,94000,WHITE,LA
6995,2014,86560,BLUE,LA
6988,2014,72161,BLACK,LA
6950,2014,106284,SILVER,LA
6900,2014,95795,WHITE,LA
6800,2014,75000,GRAY,LA
6495,2014,11300,SILVER,LA
6300,2014,215000,WHITE,LA
6300,2014,74000,GOLD,LA
5995,2014,149192,WHITE,LA
12789,2016,66718,GOLD,SLC
11995,2015,61150,GOLD,SLC
10976,2015,72868,WHITE,SLC
10900,2015,75550,GOLD,SLC
9995,2014,58570,SILVER,SLC
9995,2014,84060,GRAY,SLC
9995,2015,87150,SILVER,SLC
16750,2017,68000,RED,SLC
14970,2016,43371,GRAY,SLC
14930,2016,39669,WHITE,SLC
14830,2016,34181,GRAY,SLC
14500,2016,42393,GOLD,SLC
13995,2016,50688,BLUE,SLC
13980,2017,45950,SILVER,SLC
13964,2017,45868,BLUE,SLC
13445,2016,63125,GOLD,SLC
13399,2015,66000,WHITE,SLC
12988,2016,65965,GOLD,SLC
12985,2016,66200,RED,SLC
12725,2017,46617,SILVER,SLC
12350,2015,66000,GOLD,SLC
11997,2016,65691,GOLD,SLC
11995,2015,55091,SILVER,SLC
11788,2015,67701,GOLD,SLC
11599,2015,92887,GREEN,SLC
11500,2016,67622,GRAY,SLC
11500,2015,91827,GOLD,SLC
11465,2016,68836,GRAY,SLC
10999,2015,86639,WHITE,SLC
10995,2015,72476,SILVER,SLC
10995,2015,88315,WHITE,SLC
10995,2016,84201,BLACK,SLC
10825,2015,93970,GRAY,SLC
10495,2017,59002,SILVER,SLC
10490,2017,78820,GREEN,SLC
9995,2015,114134,BLUE,SLC
9995,2017,115394,GRAY,SLC
9950,2016,71000,RED,SLC
9950,2017,105825,GRAY,SLC
9950,2016,71500,RED,SLC
9900,2015,48636,RED,SLC
9900,2015,84075,SILVER,SLC
9700,2017,51590,BLACK,SLC
9595,2016,86195,GOLD,SLC
9495,2014,77877,GOLD,SLC
9250,2014,67156,GRAY,SLC
8999,2015,85556,GRAY,SLC
8900,2015,117399,WHITE,SLC
8858,2015,102020,GREEN,SLC
8490,2016,111000,WHITE,SLC
8293,2015,113240,GRAY,SLC
7997,2014,109965,GRAY,SLC
7699,2015,102130,SILVER,SLC
7500,2014,85925,WHITE,SLC
6589,2014,112533,BLACK,SLC
8995,2015,76913,RED,SLC
