"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.182547708E0,1.833889654E-2,-1.819415511E-2,-1.557522833E-2,3.016504839E-2
1.192491708E0,-1.099011317E-1,4.953856118E-2,6.615656734E-2,1.375100694E-1
1.202435708E0,-2.979500127E-2,5.067544263E-3,-3.143697023E-2,4.360854507E-2
1.212379708E0,-6.737776746E-2,-8.352965003E-2,-4.266479373E-2,1.154870149E-1
1.222323708E0,-1.071899148E-1,-1.280897456E-2,3.532478392E-2,1.135851576E-1
1.232267708E0,-1.366070146E-2,-3.191005566E-2,-2.200424194E-2,4.109809096E-2
1.242211708E0,-7.549757657E-2,-6.271536215E-2,8.084360361E-3,9.848074736E-2
1.252155708E0,1.656352198E-2,-2.798127492E-2,-6.840248287E-2,7.573771629E-2
1.262100708E0,2.054275552E-2,-3.168669202E-2,1.736915410E-2,4.156607715E-2
1.272044708E0,3.582713512E-2,3.360346870E-2,-4.280454218E-2,6.515370712E-2
1.281988708E0,1.048430252E-1,5.417408757E-2,1.804450750E-3,1.180260468E-1
1.291932708E0,1.495782266E-1,5.965032480E-2,2.321169198E-2,1.626978481E-1
1.301876708E0,9.157176426E-2,8.157276968E-2,-8.525240421E-3,1.229316252E-1
1.311820958E0,5.938426735E-2,8.271663124E-3,-2.678667963E-2,6.566915429E-2
1.321764958E0,8.404126313E-2,-1.425438800E-2,4.050951004E-3,8.533775067E-2
1.331708958E0,1.821278306E-1,5.405585047E-2,-1.046651602E-2,1.902685723E-1
1.341652958E0,1.933680977E-1,2.315881122E-2,4.053874612E-3,1.947921601E-1
1.351596958E0,2.185830275E-1,3.387927912E-2,1.807374358E-3,2.212003889E-1
1.361540958E0,2.338706094E-1,-9.155894606E-3,-8.971382976E-3,2.342216430E-1
1.371484958E0,2.111801236E-1,-3.784209705E-2,-4.031655192E-3,2.145817400E-1
1.381428958E0,1.908080953E-1,1.503785094E-4,-1.017064691E-2,1.910790253E-1
1.391372958E0,1.880576565E-1,4.852771921E-2,8.239311576E-3,1.943926643E-1
1.401316958E0,2.268079768E-1,1.766538409E-2,3.750404119E-3,2.275258001E-1
1.411261958E0,3.396839800E-1,-7.980512897E-3,-3.606621087E-2,3.416865031E-1
1.421205958E0,3.724106267E-1,-5.122978608E-3,2.815025032E-2,3.735081745E-1
1.431149958E0,3.712662535E-1,1.396648572E-3,1.228266120E-2,3.714719981E-1
1.441093958E0,2.536493645E-1,4.954003212E-3,-5.926796257E-2,2.605287578E-1
1.451037958E0,1.867979652E-1,4.186364753E-2,8.094300628E-3,1.916026161E-1
1.460981958E0,2.487442084E-1,4.866942739E-2,1.505658031E-3,2.534653060E-1
1.470925958E0,2.607895640E-1,3.577042398E-2,-9.571307302E-3,2.634052578E-1
1.480869958E0,2.538601201E-1,3.322380168E-2,4.607605934E-4,2.560253774E-1
1.490813958E0,3.266290112E-1,1.883021340E-2,-1.600149035E-2,3.275624148E-1
1.500757958E0,2.216166909E-1,5.275807923E-2,-7.017828226E-3,2.279180171E-1
1.510701958E0,2.449240762E-1,3.369658561E-2,-1.135529280E-2,2.474918295E-1
1.520645958E0,2.173809313E-1,4.617401848E-2,-1.629268169E-2,2.228271993E-1
1.530589958E0,1.723074136E-1,5.821366391E-2,-9.405831099E-3,1.821184920E-1
1.540533958E0,1.514803807E-1,3.310682082E-2,-6.559991241E-3,1.551947190E-1
1.550477958E0,1.268429365E-1,4.043718729E-2,-3.499967873E-2,1.376563626E-1
1.560421958E0,8.939965155E-2,3.576047001E-2,-1.314395607E-2,9.717958887E-2
1.570366958E0,5.194876520E-2,1.757700434E-2,2.203406274E-2,5.910266668E-2
1.580310958E0,4.014280739E-2,2.229435063E-2,-1.224348485E-2,4.752247865E-2
1.590254958E0,2.128479002E-2,2.922584563E-2,-4.009435773E-3,3.637674964E-2
1.600198958E0,4.881912068E-2,1.859286670E-2,-1.269079685E-2,5.375925558E-2
1.610142958E0,3.377331204E-2,-3.861158607E-3,-2.513133287E-3,3.408608207E-2
1.620086958E0,6.731588747E-3,-1.894460869E-2,-7.304341793E-3,2.139078995E-2
1.630030958E0,-1.476550545E-2,1.251751827E-2,-4.397749364E-2,4.804922853E-2
1.639974958E0,-1.519837528E-3,1.740837612E-2,1.676981449E-3,1.755487773E-2
1.649918958E0,-1.764469271E-2,-4.438128043E-3,6.467605233E-3,1.930963694E-2
1.659862958E0,1.350429073E-2,-3.506397069E-3,1.559920192E-2,2.092834893E-2
1.669806958E0,9.284521474E-2,1.149387181E-2,-4.157370329E-4,9.355488136E-2
1.679750958E0,2.088005626E-1,2.437091618E-2,-1.253818452E-2,2.105916014E-1
1.689694958E0,1.779590582E-1,2.356555816E-2,-1.687740326E-2,1.803042115E-1
1.699638958E0,1.395881399E-1,1.979079216E-2,9.367239475E-4,1.409872395E-1
1.709582958E0,9.942093864E-2,3.581822040E-2,-2.510852873E-2,1.086181668E-1
1.719527958E0,4.721285856E-2,1.187377637E-3,4.882425070E-4,4.723031082E-2
1.729471958E0,1.985683829E-2,-6.663167188E-3,-1.158333421E-3,2.097697691E-2
1.739415958E0,-1.062696727E-2,-1.157273613E-3,-9.839694500E-3,1.452898150E-2
1.749359958E0,-3.617209115E-2,-3.841433390E-3,-5.048485994E-3,3.672416098E-2
1.759303958E0,-3.850653718E-2,2.360082418E-4,4.268467426E-5,3.850728409E-2
1.769247958E0,-1.733863437E-2,-5.419098968E-3,-8.339298964E-3,1.998846624E-2
1.779191958E0,-3.240494024E-2,-1.684273110E-2,-8.787195683E-3,3.756291457E-2
1.789135958E0,-2.137790008E-2,-2.048555102E-2,-5.343770385E-3,3.008701205E-2
1.799079958E0,-1.111927999E-2,-1.248517586E-3,-1.900345087E-3,1.134938302E-2
1.809023958E0,-2.249681961E-2,1.131806705E-2,-1.451278925E-3,2.522522041E-2
1.818967958E0,-2.818569449E-2,8.214424364E-5,-1.207917809E-2,3.066507240E-2
1.828911958E0,-3.580649399E-2,-9.759167377E-3,-1.451278925E-3,3.714098236E-2
1.838855958E0,-1.055981108E-2,-1.444285564E-2,-1.417540491E-2,2.282647133E-2
1.848799958E0,-1.237861949E-2,-3.153202403E-4,-2.076112390E-2,2.417341334E-2
1.858743958E0,-2.369550339E-2,-4.130770066E-3,-6.091629267E-3,2.481225684E-2
1.868688958E0,-3.140171792E-2,6.416661367E-3,-2.764680505E-2,4.232714567E-2
1.878632958E0,-3.032997811E-2,-4.725290285E-3,1.541910768E-3,3.073456408E-2
